Country,Race,Age,Age_Group,Gender,Ordering,E_Trait_mean,E_Trait_std,E_Trait_count,A_Trait_mean,A_Trait_std,A_Trait_count,C_Trait_mean,C_Trait_std,C_Trait_count,N_Trait_mean,N_Trait_std,N_Trait_count,O_Trait_mean,O_Trait_std,O_Trait_count
Bangladesh,All,All,All,All,Nationality -> Age -> Gender,2.9,0.1,3,4.1,0.0,3,3.5,0.0,3,3.233,0.058,3,3.733,0.058,3
Belgium,All,All,All,All,Age -> Gender -> Nationality,2.886,0.135,7,4.129,0.111,7,3.543,0.053,7,3.257,0.053,7,3.757,0.079,7
Belgium,All,All,All,All,Gender -> Age -> Nationality,2.9,0.141,7,4.143,0.098,7,3.557,0.151,7,3.386,0.186,7,3.814,0.09,7
Belgium,All,All,All,All,Nationality -> Age -> Gender,2.857,0.14,7,4.129,0.076,7,3.6,0.115,7,3.329,0.076,7,3.8,0.0,7
Belize,All,All,All,All,Age -> Gender -> Nationality,3.1,,1,4.1,,1,3.4,,1,3.3,,1,3.8,,1
Belize,All,All,All,All,Gender -> Age -> Nationality,3.0,,1,4.0,,1,3.7,,1,3.3,,1,3.7,,1
Belize,All,All,All,All,Nationality -> Age -> Gender,3.0,,1,4.2,,1,3.5,,1,3.4,,1,3.8,,1
Brazil,All,All,All,All,Age -> Gender -> Nationality,3.06,0.23,5,4.12,0.11,5,3.36,0.182,5,3.3,0.1,5,3.66,0.089,5
Brazil,All,All,All,All,Gender -> Age -> Nationality,3.0,0.122,5,4.16,0.089,5,3.3,0.2,5,3.24,0.182,5,3.66,0.114,5
Brazil,All,All,All,All,Nationality -> Age -> Gender,2.96,0.195,5,4.16,0.055,5,3.38,0.179,5,3.18,0.11,5,3.78,0.045,5
Bulgaria,All,All,All,All,Age -> Gender -> Nationality,3.2,,1,4.0,,1,3.3,,1,3.2,,1,3.6,,1
Bulgaria,All,All,All,All,Gender -> Age -> Nationality,2.8,,1,4.1,,1,3.1,,1,3.3,,1,3.5,,1
Bulgaria,All,All,All,All,Nationality -> Age -> Gender,3.0,,1,4.1,,1,3.5,,1,3.3,,1,3.7,,1
Canada,All,All,All,All,Age -> Gender -> Nationality,2.922,0.149,51,4.116,0.09,51,3.449,0.172,51,3.292,0.074,51,3.735,0.082,51
Canada,All,All,All,All,Gender -> Age -> Nationality,2.945,0.19,51,4.143,0.092,51,3.5,0.164,51,3.288,0.116,51,3.737,0.1,51
Canada,All,All,All,All,Nationality -> Age -> Gender,2.92,0.196,51,4.129,0.078,51,3.496,0.12,51,3.322,0.103,51,3.743,0.081,51
Chile,All,All,All,All,Age -> Gender -> Nationality,3.05,0.212,2,4.2,0.0,2,3.4,0.141,2,3.3,0.0,2,3.75,0.071,2
Chile,All,All,All,All,Gender -> Age -> Nationality,3.2,0.0,2,4.2,0.0,2,3.6,0.141,2,3.4,0.141,2,3.95,0.071,2
Chile,All,All,All,All,Nationality -> Age -> Gender,2.9,0.283,2,4.1,0.0,2,3.45,0.071,2,3.2,0.0,2,3.8,0.141,2
Costa Rica,All,All,All,All,Age -> Gender -> Nationality,3.0,,1,4.2,,1,3.3,,1,3.2,,1,3.8,,1
Costa Rica,All,All,All,All,Gender -> Age -> Nationality,3.0,,1,4.2,,1,3.3,,1,3.3,,1,3.7,,1
Costa Rica,All,All,All,All,Nationality -> Age -> Gender,2.8,,1,4.2,,1,3.3,,1,3.3,,1,3.7,,1
Croatia,All,All,All,All,Age -> Gender -> Nationality,3.2,0.1,3,4.2,0.0,3,3.6,0.1,3,3.3,0.0,3,3.733,0.115,3
Croatia,All,All,All,All,Gender -> Age -> Nationality,2.967,0.058,3,4.167,0.058,3,3.633,0.115,3,3.367,0.058,3,3.767,0.058,3
Croatia,All,All,All,All,Nationality -> Age -> Gender,3.0,0.2,3,4.2,0.0,3,3.467,0.208,3,3.333,0.058,3,3.7,0.0,3
Czechia,All,All,All,All,Age -> Gender -> Nationality,2.9,,1,4.2,,1,3.3,,1,3.2,,1,3.7,,1
Czechia,All,All,All,All,Gender -> Age -> Nationality,2.7,,1,4.1,,1,3.4,,1,3.1,,1,3.6,,1
Czechia,All,All,All,All,Nationality -> Age -> Gender,2.5,,1,4.1,,1,3.3,,1,3.3,,1,3.6,,1
Denmark,All,All,All,All,Age -> Gender -> Nationality,3.0,0.361,3,4.167,0.058,3,3.5,0.265,3,3.3,0.0,3,3.733,0.115,3
Denmark,All,All,All,All,Gender -> Age -> Nationality,3.133,0.208,3,4.2,0.0,3,3.533,0.208,3,3.267,0.058,3,3.767,0.153,3
Denmark,All,All,All,All,Nationality -> Age -> Gender,2.767,0.351,3,4.133,0.115,3,3.533,0.058,3,3.333,0.058,3,3.767,0.115,3
Dominican Republic,All,All,All,All,Age -> Gender -> Nationality,3.05,0.071,2,4.15,0.071,2,3.25,0.071,2,3.3,0.0,2,3.7,0.141,2
Dominican Republic,All,All,All,All,Gender -> Age -> Nationality,2.9,0.0,2,4.1,0.0,2,3.15,0.071,2,3.25,0.071,2,3.6,0.0,2
Dominican Republic,All,All,All,All,Nationality -> Age -> Gender,2.8,0.0,2,4.2,0.0,2,3.35,0.071,2,3.25,0.071,2,3.65,0.071,2
Egypt,All,All,All,All,Age -> Gender -> Nationality,2.95,0.071,2,4.15,0.071,2,3.25,0.071,2,3.15,0.071,2,3.65,0.071,2
Egypt,All,All,All,All,Gender -> Age -> Nationality,2.95,0.071,2,4.0,0.0,2,3.4,0.283,2,3.3,0.0,2,3.65,0.071,2
Egypt,All,All,All,All,Nationality -> Age -> Gender,3.1,0.424,2,4.05,0.071,2,3.5,0.0,2,3.3,0.0,2,3.65,0.071,2
Estonia,All,All,All,All,Age -> Gender -> Nationality,2.7,,1,4.1,,1,3.4,,1,3.2,,1,3.5,,1
Estonia,All,All,All,All,Gender -> Age -> Nationality,2.7,,1,4.2,,1,3.4,,1,3.2,,1,3.5,,1
Estonia,All,All,All,All,Nationality -> Age -> Gender,2.4,,1,4.2,,1,3.3,,1,3.2,,1,3.8,,1
Finland,All,All,All,All,Age -> Gender -> Nationality,2.767,0.163,6,4.05,0.176,6,3.517,0.248,6,3.35,0.105,6,3.717,0.147,6
Finland,All,All,All,All,Gender -> Age -> Nationality,2.783,0.293,6,4.117,0.098,6,3.583,0.256,6,3.433,0.103,6,3.767,0.103,6
Finland,All,All,All,All,Nationality -> Age -> Gender,2.617,0.117,6,4.183,0.041,6,3.517,0.24,6,3.5,0.167,6,3.717,0.041,6
France,All,All,All,All,Age -> Gender -> Nationality,2.938,0.16,8,4.138,0.052,8,3.425,0.139,8,3.238,0.052,8,3.75,0.12,8
France,All,All,All,All,Gender -> Age -> Nationality,3.075,0.149,8,4.175,0.046,8,3.388,0.236,8,3.312,0.083,8,3.775,0.046,8
France,All,All,All,All,Nationality -> Age -> Gender,2.9,0.107,8,4.112,0.064,8,3.438,0.177,8,3.375,0.104,8,3.75,0.076,8
Georgia,All,All,All,All,Age -> Gender -> Nationality,3.1,,1,4.1,,1,3.3,,1,3.1,,1,3.8,,1
Georgia,All,All,All,All,Gender -> Age -> Nationality,3.0,,1,4.2,,1,3.6,,1,3.2,,1,3.7,,1
Georgia,All,All,All,All,Nationality -> Age -> Gender,2.9,,1,4.2,,1,3.5,,1,3.3,,1,3.8,,1
Germany,All,All,All,All,Age -> Gender -> Nationality,3.042,0.188,12,4.175,0.045,12,3.633,0.115,12,3.325,0.097,12,3.767,0.078,12
Germany,All,All,All,All,Gender -> Age -> Nationality,3.108,0.168,12,4.142,0.079,12,3.608,0.151,12,3.358,0.079,12,3.808,0.079,12
Germany,All,All,All,All,Nationality -> Age -> Gender,3.0,0.148,12,4.125,0.087,12,3.592,0.067,12,3.283,0.039,12,3.767,0.078,12
Ghana,All,All,All,All,Age -> Gender -> Nationality,3.3,0.141,2,4.2,0.0,2,3.6,0.0,2,3.3,0.0,2,3.9,0.0,2
Ghana,All,All,All,All,Gender -> Age -> Nationality,3.15,0.212,2,4.15,0.071,2,3.5,0.0,2,3.2,0.0,2,3.75,0.071,2
Ghana,All,All,All,All,Nationality -> Age -> Gender,3.2,0.141,2,4.2,0.0,2,3.45,0.212,2,3.3,0.0,2,3.8,0.0,2
Greece,All,All,All,All,Age -> Gender -> Nationality,3.2,0.122,5,4.18,0.045,5,3.44,0.207,5,3.32,0.11,5,3.78,0.045,5
Greece,All,All,All,All,Gender -> Age -> Nationality,3.12,0.148,5,4.16,0.089,5,3.52,0.217,5,3.3,0.0,5,3.74,0.055,5
Greece,All,All,All,All,Nationality -> Age -> Gender,3.04,0.114,5,4.16,0.055,5,3.44,0.114,5,3.36,0.089,5,3.74,0.089,5
Hong Kong,All,All,All,All,Age -> Gender -> Nationality,2.92,0.192,5,4.14,0.055,5,3.56,0.114,5,3.3,0.122,5,3.74,0.055,5
Hong Kong,All,All,All,All,Gender -> Age -> Nationality,2.92,0.303,5,4.16,0.055,5,3.52,0.192,5,3.32,0.239,5,3.7,0.141,5
Hong Kong,All,All,All,All,Nationality -> Age -> Gender,3.0,0.245,5,4.1,0.1,5,3.5,0.122,5,3.32,0.045,5,3.76,0.089,5
Hungary,All,All,All,All,Age -> Gender -> Nationality,3.05,0.191,4,4.175,0.05,4,3.575,0.096,4,3.275,0.126,4,3.75,0.058,4
Hungary,All,All,All,All,Gender -> Age -> Nationality,2.85,0.191,4,4.15,0.1,4,3.5,0.271,4,3.3,0.183,4,3.725,0.05,4
Hungary,All,All,All,All,Nationality -> Age -> Gender,2.9,0.082,4,4.15,0.058,4,3.55,0.129,4,3.225,0.15,4,3.75,0.129,4
Iceland,All,All,All,All,Age -> Gender -> Nationality,2.9,,1,4.2,,1,3.7,,1,3.4,,1,3.9,,1
Iceland,All,All,All,All,Gender -> Age -> Nationality,2.8,,1,4.2,,1,3.7,,1,3.3,,1,3.8,,1
Iceland,All,All,All,All,Nationality -> Age -> Gender,2.8,,1,4.1,,1,3.6,,1,3.5,,1,3.8,,1
India,All,All,All,All,Age -> Gender -> Nationality,2.997,0.18,89,4.087,0.069,89,3.424,0.171,89,3.21,0.091,89,3.699,0.096,89
India,All,All,All,All,Gender -> Age -> Nationality,3.056,0.179,89,4.104,0.058,89,3.458,0.169,89,3.257,0.082,89,3.702,0.084,89
India,All,All,All,All,Nationality -> Age -> Gender,3.021,0.152,89,4.09,0.072,89,3.462,0.142,89,3.246,0.064,89,3.7,0.1,89
Indonesia,All,All,All,All,Age -> Gender -> Nationality,2.957,0.19,7,4.143,0.079,7,3.486,0.146,7,3.257,0.053,7,3.657,0.079,7
Indonesia,All,All,All,All,Gender -> Age -> Nationality,2.829,0.138,7,4.129,0.15,7,3.371,0.125,7,3.2,0.1,7,3.614,0.121,7
Indonesia,All,All,All,All,Nationality -> Age -> Gender,2.9,0.224,7,4.171,0.049,7,3.357,0.113,7,3.243,0.053,7,3.629,0.095,7
Ireland,All,All,All,All,Age -> Gender -> Nationality,2.938,0.207,8,4.125,0.071,8,3.35,0.131,8,3.288,0.064,8,3.738,0.092,8
Ireland,All,All,All,All,Gender -> Age -> Nationality,2.8,0.214,8,4.125,0.089,8,3.45,0.12,8,3.338,0.13,8,3.75,0.076,8
Ireland,All,All,All,All,Nationality -> Age -> Gender,2.75,0.107,8,4.1,0.076,8,3.412,0.113,8,3.375,0.149,8,3.7,0.107,8
Israel,All,All,All,All,Age -> Gender -> Nationality,3.3,,1,4.2,,1,3.4,,1,3.2,,1,3.8,,1
Israel,All,All,All,All,Gender -> Age -> Nationality,3.1,,1,4.2,,1,3.8,,1,3.3,,1,3.8,,1
Israel,All,All,All,All,Nationality -> Age -> Gender,3.0,,1,4.1,,1,3.4,,1,3.2,,1,3.8,,1
Italy,All,All,All,All,Age -> Gender -> Nationality,3.075,0.235,16,4.15,0.082,16,3.525,0.148,16,3.306,0.093,16,3.762,0.115,16
Italy,All,All,All,All,Gender -> Age -> Nationality,2.962,0.193,16,4.169,0.048,16,3.506,0.208,16,3.331,0.101,16,3.756,0.126,16
Italy,All,All,All,All,Nationality -> Age -> Gender,2.975,0.191,16,4.169,0.048,16,3.544,0.155,16,3.381,0.117,16,3.769,0.07,16
Jamaica,All,All,All,All,Age -> Gender -> Nationality,3.35,0.071,2,4.2,0.0,2,3.25,0.071,2,3.25,0.071,2,3.75,0.071,2
Jamaica,All,All,All,All,Gender -> Age -> Nationality,3.35,0.212,2,4.15,0.071,2,3.35,0.071,2,3.3,0.141,2,3.75,0.071,2
Jamaica,All,All,All,All,Nationality -> Age -> Gender,3.35,0.212,2,4.15,0.071,2,3.4,0.141,2,3.25,0.071,2,3.7,0.141,2
Japan,All,All,All,All,Age -> Gender -> Nationality,3.033,0.058,3,4.2,0.0,3,3.667,0.058,3,3.3,0.0,3,3.733,0.058,3
Japan,All,All,All,All,Gender -> Age -> Nationality,2.9,0.1,3,4.1,0.0,3,3.633,0.058,3,3.267,0.058,3,3.733,0.058,3
Japan,All,All,All,All,Nationality -> Age -> Gender,2.767,0.252,3,4.067,0.058,3,3.5,0.1,3,3.3,0.0,3,3.7,0.0,3
Kenya,All,All,All,All,Age -> Gender -> Nationality,3.02,0.217,5,4.14,0.055,5,3.5,0.212,5,3.26,0.114,5,3.74,0.055,5
Kenya,All,All,All,All,Gender -> Age -> Nationality,3.12,0.205,5,4.16,0.089,5,3.46,0.152,5,3.34,0.089,5,3.74,0.089,5
Kenya,All,All,All,All,Nationality -> Age -> Gender,3.12,0.179,5,4.08,0.11,5,3.58,0.084,5,3.28,0.084,5,3.74,0.055,5
"Korea, Republic of",All,All,All,All,Age -> Gender -> Nationality,2.8,,1,4.0,,1,3.3,,1,3.3,,1,3.6,,1
"Korea, Republic of",All,All,All,All,Gender -> Age -> Nationality,2.8,,1,4.2,,1,3.6,,1,3.2,,1,3.7,,1
"Korea, Republic of",All,All,All,All,Nationality -> Age -> Gender,2.7,,1,4.1,,1,3.6,,1,3.3,,1,3.8,,1
Lebanon,All,All,All,All,Age -> Gender -> Nationality,3.1,,1,4.2,,1,3.3,,1,3.2,,1,3.8,,1
Lebanon,All,All,All,All,Gender -> Age -> Nationality,3.0,,1,4.1,,1,3.5,,1,3.3,,1,3.7,,1
Lebanon,All,All,All,All,Nationality -> Age -> Gender,2.8,,1,4.2,,1,3.5,,1,3.3,,1,3.8,,1
Malaysia,All,All,All,All,Age -> Gender -> Nationality,2.925,0.218,16,4.119,0.075,16,3.4,0.103,16,3.275,0.113,16,3.675,0.086,16
Malaysia,All,All,All,All,Gender -> Age -> Nationality,2.825,0.134,16,4.131,0.079,16,3.331,0.125,16,3.275,0.058,16,3.625,0.086,16
Malaysia,All,All,All,All,Nationality -> Age -> Gender,2.819,0.176,16,4.169,0.048,16,3.444,0.131,16,3.281,0.075,16,3.638,0.072,16
Mexico,All,All,All,All,Age -> Gender -> Nationality,3.08,0.179,5,4.18,0.045,5,3.5,0.071,5,3.24,0.055,5,3.76,0.089,5
Mexico,All,All,All,All,Gender -> Age -> Nationality,3.1,0.187,5,4.18,0.045,5,3.54,0.114,5,3.3,0.071,5,3.76,0.055,5
Mexico,All,All,All,All,Nationality -> Age -> Gender,3.04,0.288,5,4.12,0.084,5,3.48,0.084,5,3.28,0.045,5,3.74,0.089,5
Morocco,All,All,All,All,Age -> Gender -> Nationality,3.05,0.071,2,4.15,0.071,2,3.65,0.071,2,3.25,0.071,2,3.85,0.071,2
Morocco,All,All,All,All,Gender -> Age -> Nationality,2.8,0.0,2,4.2,0.0,2,3.6,0.141,2,3.3,0.0,2,3.8,0.0,2
Morocco,All,All,All,All,Nationality -> Age -> Gender,3.0,0.283,2,4.15,0.071,2,3.55,0.071,2,3.3,0.0,2,3.75,0.071,2
Nepal,All,All,All,All,Age -> Gender -> Nationality,3.1,,1,4.0,,1,3.5,,1,3.3,,1,3.8,,1
Nepal,All,All,All,All,Gender -> Age -> Nationality,2.9,,1,4.1,,1,3.7,,1,3.1,,1,3.6,,1
Nepal,All,All,All,All,Nationality -> Age -> Gender,2.8,,1,4.1,,1,3.6,,1,3.2,,1,3.8,,1
"Netherlands, Kingdom of the",All,All,All,All,Age -> Gender -> Nationality,3.025,0.266,8,4.138,0.074,8,3.45,0.076,8,3.238,0.074,8,3.688,0.064,8
"Netherlands, Kingdom of the",All,All,All,All,Gender -> Age -> Nationality,3.1,0.2,8,4.175,0.046,8,3.438,0.106,8,3.338,0.092,8,3.7,0.053,8
"Netherlands, Kingdom of the",All,All,All,All,Nationality -> Age -> Gender,3.038,0.185,8,4.15,0.076,8,3.562,0.119,8,3.262,0.074,8,3.738,0.092,8
New Zealand,All,All,All,All,Age -> Gender -> Nationality,2.95,0.12,8,4.125,0.071,8,3.362,0.262,8,3.238,0.092,8,3.688,0.035,8
New Zealand,All,All,All,All,Gender -> Age -> Nationality,2.925,0.128,8,4.175,0.071,8,3.425,0.183,8,3.312,0.21,8,3.725,0.128,8
New Zealand,All,All,All,All,Nationality -> Age -> Gender,2.862,0.207,8,4.15,0.053,8,3.388,0.203,8,3.275,0.089,8,3.7,0.093,8
Nigeria,All,All,All,All,Age -> Gender -> Nationality,3.2,0.2,3,4.167,0.058,3,3.567,0.058,3,3.3,0.1,3,3.8,0.1,3
Nigeria,All,All,All,All,Gender -> Age -> Nationality,3.267,0.115,3,4.167,0.058,3,3.567,0.153,3,3.2,0.1,3,3.733,0.115,3
Nigeria,All,All,All,All,Nationality -> Age -> Gender,2.933,0.153,3,4.2,0.0,3,3.6,0.1,3,3.3,0.0,3,3.7,0.1,3
Norway,All,All,All,All,Age -> Gender -> Nationality,2.85,0.138,6,4.133,0.082,6,3.467,0.151,6,3.283,0.098,6,3.767,0.082,6
Norway,All,All,All,All,Gender -> Age -> Nationality,2.883,0.214,6,4.167,0.052,6,3.5,0.141,6,3.317,0.041,6,3.8,0.089,6
Norway,All,All,All,All,Nationality -> Age -> Gender,2.85,0.084,6,4.183,0.041,6,3.6,0.141,6,3.317,0.098,6,3.75,0.084,6
Pakistan,All,All,All,All,Age -> Gender -> Nationality,2.844,0.181,9,4.078,0.083,9,3.356,0.133,9,3.267,0.112,9,3.7,0.071,9
Pakistan,All,All,All,All,Gender -> Age -> Nationality,2.922,0.179,9,4.067,0.05,9,3.389,0.127,9,3.211,0.154,9,3.722,0.067,9
Pakistan,All,All,All,All,Nationality -> Age -> Gender,2.867,0.235,9,4.089,0.093,9,3.411,0.145,9,3.222,0.139,9,3.7,0.1,9
Peru,All,All,All,All,Age -> Gender -> Nationality,3.0,,1,4.2,,1,3.5,,1,3.2,,1,3.8,,1
Peru,All,All,All,All,Gender -> Age -> Nationality,3.2,,1,4.2,,1,3.5,,1,3.2,,1,3.5,,1
Peru,All,All,All,All,Nationality -> Age -> Gender,3.0,,1,4.2,,1,3.1,,1,3.4,,1,3.8,,1
Philippines,All,All,All,All,Age -> Gender -> Nationality,2.89,0.17,29,4.128,0.075,29,3.369,0.134,29,3.241,0.057,29,3.676,0.087,29
Philippines,All,All,All,All,Gender -> Age -> Nationality,2.893,0.156,29,4.155,0.078,29,3.324,0.153,29,3.231,0.089,29,3.624,0.099,29
Philippines,All,All,All,All,Nationality -> Age -> Gender,2.855,0.174,29,4.169,0.054,29,3.331,0.114,29,3.248,0.069,29,3.621,0.049,29
Poland,All,All,All,All,Age -> Gender -> Nationality,3.15,0.071,2,4.2,0.0,2,3.5,0.141,2,3.3,0.0,2,3.8,0.0,2
Poland,All,All,All,All,Gender -> Age -> Nationality,2.85,0.354,2,4.2,0.0,2,3.5,0.141,2,3.3,0.0,2,3.75,0.071,2
Poland,All,All,All,All,Nationality -> Age -> Gender,2.85,0.071,2,4.15,0.071,2,3.55,0.071,2,3.3,0.0,2,3.7,0.0,2
Portugal,All,All,All,All,Age -> Gender -> Nationality,2.94,0.23,5,4.14,0.055,5,3.48,0.13,5,3.28,0.13,5,3.72,0.084,5
Portugal,All,All,All,All,Gender -> Age -> Nationality,2.98,0.164,5,4.18,0.045,5,3.52,0.205,5,3.3,0.071,5,3.72,0.084,5
Portugal,All,All,All,All,Nationality -> Age -> Gender,2.86,0.23,5,4.16,0.055,5,3.52,0.205,5,3.28,0.084,5,3.72,0.045,5
Qatar,All,All,All,All,Age -> Gender -> Nationality,3.1,0.141,2,4.1,0.141,2,3.65,0.071,2,3.2,0.0,2,3.7,0.0,2
Qatar,All,All,All,All,Gender -> Age -> Nationality,3.25,0.212,2,4.1,0.0,2,3.7,0.0,2,3.3,0.0,2,3.9,0.0,2
Qatar,All,All,All,All,Nationality -> Age -> Gender,3.15,0.071,2,4.15,0.071,2,3.75,0.071,2,3.4,0.141,2,3.85,0.071,2
Romania,All,All,All,All,Age -> Gender -> Nationality,2.775,0.05,4,4.1,0.115,4,3.55,0.238,4,3.375,0.096,4,3.8,0.0,4
Romania,All,All,All,All,Gender -> Age -> Nationality,2.875,0.126,4,4.125,0.05,4,3.5,0.216,4,3.325,0.126,4,3.725,0.126,4
Romania,All,All,All,All,Nationality -> Age -> Gender,2.925,0.189,4,4.2,0.0,4,3.525,0.096,4,3.325,0.126,4,3.725,0.05,4
Russian Federation,All,All,All,All,Age -> Gender -> Nationality,2.9,,1,4.0,,1,3.5,,1,3.3,,1,3.7,,1
Russian Federation,All,All,All,All,Gender -> Age -> Nationality,3.1,,1,4.2,,1,3.6,,1,3.3,,1,3.8,,1
Russian Federation,All,All,All,All,Nationality -> Age -> Gender,2.8,,1,4.1,,1,3.5,,1,3.3,,1,3.6,,1
Saudi Arabia,All,All,All,All,Age -> Gender -> Nationality,2.9,0.2,3,4.1,0.1,3,3.6,0.1,3,3.267,0.058,3,3.7,0.0,3
Saudi Arabia,All,All,All,All,Gender -> Age -> Nationality,2.733,0.208,3,4.133,0.058,3,3.667,0.058,3,3.267,0.208,3,3.7,0.1,3
Saudi Arabia,All,All,All,All,Nationality -> Age -> Gender,2.967,0.115,3,4.067,0.115,3,3.667,0.058,3,3.267,0.058,3,3.767,0.058,3
Serbia,All,All,All,All,Age -> Gender -> Nationality,2.88,0.164,5,4.16,0.055,5,3.44,0.207,5,3.28,0.11,5,3.66,0.055,5
Serbia,All,All,All,All,Gender -> Age -> Nationality,2.98,0.192,5,4.14,0.055,5,3.46,0.27,5,3.28,0.045,5,3.72,0.084,5
Serbia,All,All,All,All,Nationality -> Age -> Gender,2.84,0.195,5,4.16,0.055,5,3.52,0.084,5,3.34,0.089,5,3.7,0.122,5
Singapore,All,All,All,All,Age -> Gender -> Nationality,2.989,0.215,9,4.178,0.044,9,3.522,0.156,9,3.244,0.073,9,3.767,0.087,9
Singapore,All,All,All,All,Gender -> Age -> Nationality,2.989,0.196,9,4.156,0.053,9,3.522,0.139,9,3.3,0.122,9,3.711,0.078,9
Singapore,All,All,All,All,Nationality -> Age -> Gender,2.967,0.187,9,4.178,0.044,9,3.511,0.196,9,3.311,0.078,9,3.7,0.1,9
Slovenia,All,All,All,All,Age -> Gender -> Nationality,2.8,0.0,2,4.15,0.071,2,3.6,0.141,2,3.4,0.141,2,3.8,0.0,2
Slovenia,All,All,All,All,Gender -> Age -> Nationality,3.2,0.0,2,4.1,0.141,2,3.55,0.071,2,3.4,0.141,2,3.75,0.212,2
Slovenia,All,All,All,All,Nationality -> Age -> Gender,2.9,0.0,2,4.15,0.071,2,3.6,0.0,2,3.3,0.0,2,3.8,0.141,2
South Africa,All,All,All,All,Age -> Gender -> Nationality,3.062,0.192,8,4.125,0.071,8,3.438,0.13,8,3.25,0.131,8,3.725,0.128,8
South Africa,All,All,All,All,Gender -> Age -> Nationality,3.012,0.173,8,4.15,0.053,8,3.488,0.203,8,3.275,0.116,8,3.788,0.064,8
South Africa,All,All,All,All,Nationality -> Age -> Gender,2.988,0.189,8,4.138,0.074,8,3.538,0.106,8,3.312,0.099,8,3.762,0.074,8
Spain,All,All,All,All,Age -> Gender -> Nationality,2.95,0.212,2,4.2,0.0,2,3.45,0.071,2,3.35,0.071,2,3.8,0.141,2
Spain,All,All,All,All,Gender -> Age -> Nationality,3.3,0.283,2,4.2,0.0,2,3.55,0.071,2,3.4,0.141,2,3.8,0.0,2
Spain,All,All,All,All,Nationality -> Age -> Gender,2.9,0.141,2,4.2,0.0,2,3.55,0.071,2,3.3,0.0,2,3.75,0.071,2
Sri Lanka,All,All,All,All,Age -> Gender -> Nationality,2.95,0.071,2,4.15,0.071,2,3.3,0.141,2,3.2,0.0,2,3.8,0.0,2
Sri Lanka,All,All,All,All,Gender -> Age -> Nationality,2.75,0.212,2,4.1,0.141,2,3.45,0.071,2,3.2,0.141,2,3.75,0.071,2
Sri Lanka,All,All,All,All,Nationality -> Age -> Gender,2.95,0.071,2,4.1,0.0,2,3.5,0.0,2,3.25,0.071,2,3.7,0.0,2
